Name,Gender,Institution,Category,Subcategory,h-index,Year
Patrick Huber,Male,Virginia Polytechnic Institute and State University,University,Other,65,2010
Christiane Jablonowski,Female,University of Michigan,University,State/Public,35,2010
Arthi Jayaraman,Unknown,University of Colorado,University,Other,38,2010
Rubin Juanes,Male,University of Maryland,University,Other,66,2010
Matias Kirst,Male,University of Florida,University,State/Public,47,2010
John Kitchin,Male,Carnegie Mellon University,University,Other,46,2010
Michael Kohl,Male,Hampton University,University,Other,110,2010
Matthew Law,Male,"University of California, Irvine",University,Other,103,2010
Rupak Mahapatra,Unknown,Texas A&M University,University,Other,75,2010
Alysia Marino,Female,University of Colorado,University,Other,68,2010
Christina Markert,Female,University of Texas at Austin,University,State/Public,22,2010
Youssef Marzouk,Male,Los Alamos National Laboratory,National Lab,,45,2010
Christopher Mauger,Male,Los Alamos National Laboratory,National Lab,,N/A,2010
Nathan McDowell,Male,Los Alamos National Laboratory,National Lab,,93,2010
Antonino Miceli,Male,Argonne National Laboratory,National Lab,,19,2010
Delia Milliron,Female,Lawrence Berkeley National Laboratory,National Lab,,70,2010
Denes Molnar,Unknown,Purdue University,University,Other,96,2010
Benjamin Monreal,Male,"University of California, Santa Barbara",University,Other,32,2010
Tobin Munsat,Male,University of Colorado,University,Other,35,2010
Pavel Nadolsky,Male,Southern Methodist University,University,Other,59,2010
Jeffrey Newman,Male,University of Pittsburgh,University,Other,120,2010
Jennifer O'Donnell,Female,Iowa State University,University,Other,8,2010
Victoria Orphan,Female,California institute of Technology,University,Private,66,2010
Kalyan Perumalla,Male,Oak Ridge National Laboratory,National Lab,,33,2010
Eric Potma,Male,"University of California, Irvine",University,Other,56,Unknown
Jonathan Schilling,Male,University of Minnesota,University,State/Public,50,2010
Matthew Schwartz,Male,SLAC National Accelerator Laboratory,National Lab,,58,2010
Ariel Schwartzman,Male,SLAC National Accelerator Laboratory,National Lab,,N/A,2010
Athena Sefat,Female,Oak Ridge National Laboratory,National Lab,,64,2010
Wendy Shaw,Female,Pacific Northwest National Laboratory,National Lab,,49,2010
David Shih,Male,Los Alamos National Laboratory,National Lab,,38,2010
Evgenya Smirnova,Female,Los Alamos National Laboratory,National Lab,,5,2010
Vsevolod Soukhanovskii,Male,Lawrence Livermore National Laboratory,National Lab,,N/A,2010
Michelle Strout,Female,Colorado State University,University,Other,28,2010
Tsuyoshi Tajima,Male,Los Alamos National Laboratory,National Lab,,16,2010
Christine Thomas,Female,Washington State University,University,Other,43,2010
Timothy VanReken,Male,Washington State University,University,Other,21,2010
Anil Vullikanti,Male,Virginia Polytechnic Institute and State University,University,Other,49,2010
Feng Wang,Unknown,"University of California, Berkeley",University,State/Public,129,2010
Mort Webster,Male,Northwestern University,University,Private,35,2010
Emily Weiss,Female,Northwestern University,University,Private,68,2010
Feng Yuan,Unknown,Lawrence Berkeley National Laboratory,National Lab,,115,2010
Xiaochao Zheng,Unknown,University of Virginia,University,Other,57,2010
Michael Arnold,Male,University of Wisconsin,University,Other,55,2011
Nina Balke,Female,Oak Ridge National Laboratory,National Lab,,62,2011
Timothy Bertram,Male,"University of California, San Diego",University,State/Public,N/A,2011
Guillaume Blanquart,Male,California Institute of Technology,University,Private,34,2011
Ricardo Castro,Male,"University of California, Davis",University,Other,34,2011
Jennifer Cha,Female,"University of California, San Diego",University,State/Public,37,2011
Youping Chen,Unknown,University of Florida,University,State/Public,40,2011
Aaron Chou,Male,Fermi National Accelerator Laboratory,National Lab,,4,2011
Paul Dauenhauer,Male,University of Massachusetts Amherst,University,Other,51,2011
Sarah Demers,Female,Yale University,University,Ivy League,N/A,2011
Shen Dillon,Unknown,University of Illinois at Urbana‐Champaign,University,Other,41,2011
Mircea Dinca,Male,Massachusetts Institute of Technology,University,Private,90,2011
Alireza Doostan,Male,University of Colorado,University,Other,36,2011
Jozef Dudek,Male,Old Dominion University,University,Other,45,2011
Mary Dunlop,Female,University of Vermont,University,Other,28,2011
Gurudev Dutt,Unknown,University of Pittsburgh,University,Other,18,2011
Pavel Evtushenko,Male,Thomas Jefferson National Accelerator Facility,National Lab,,15,2011
Michael Galperin,Male,"University of California, San Diego",University,State/Public,90,2011
Nuh Gedik,Male,Massachusetts Institute of Technology,University,Private,52,2011
Kai Germaschewski,Male,University of New Hampshire,University,Other,29,2011
Jeffrey Greeley,Male,Argonne National Laboratory,National Lab,,88,2011
Julia Greer,Female,California Institute of Technology,University,Private,80,2011
Markus Guehr,Male,SLAC National Acceleratory Laboratory,Unknown,,37,2011
Carter Hall,Male,University of Maryland,University,Other,75,2011
Thomas Hamann,Male,Michigan State University,University,Other,52,2011
Ryan Hayward,Male,University of Massachusetts Amherst,University,Other,67,2011
