Name,Gender,h-index,Institution,Category,Subcategory,Zipcode,Program Area,Year
Julia Moriarty,Female,11,University of Colorado Boulder,University,Other,80303,Basic Energy Sciences,2023
Johanna Nelson Weker,Female,38,Lightsource SLAC National Accelerator,Unknown,,94025,Basic Energy Sciences,2023
Hyunseok Oh,Unknown,21,University of Wisconsin-Madison,University,State/Public,53706,Basic Energy Sciences,2023
Elizabeth Paul,Female,15,Columbia University,University,Ivy League,10027,Nuclear Physics,2023
Adam Printz,Male,26,University of Arizona,University,Other,85721,Fusion Energy Sciences,2023
Jin Qian,Female,34,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2023
Felix Ringer,Male,38,Old Dominion University,University,Other,23529,Basic Energy Sciences,2023
Annette Rowe,Female,21,"Cincinnati Cincinnati,",Unknown,,45221,Nuclear Physics,2023
Derek Schaeffer,Male,21,"Astronomy University of California, Los",University,Other,90095,Basic Energy Sciences,2023
Arunima Singh,Unknown,24,Arizona State University,University,Other,85287,Fusion Energy Sciences,2023
Hillary Smith,Female,35,Astronomy Swarthmore College,University,Other,19081,Basic Energy Sciences,2023
Erin Stache,Female,13,Princeton University,University,Ivy League,08544,Basic Energy Sciences,2023
Mathew A. Steiner,Male,14,Engineering University of Cincinnati,University,Other,45223,Basic Energy Sciences,2023
Esther Tsai,Female,21,"Laboratory Upton, NY",Unknown,,11973,Basic Energy Sciences,2023
Omar Valsson,Male,22,University of North Texas,University,Other,76201,Basic Energy Sciences,2023
Ying Wang,Unknown,78,University of Wisconsin-Madison,University,State/Public,53706,Basic Energy Sciences,2023
Cory Windorff,Male,19,Biochemistry New Mexico State University,University,Other,88003,Basic Energy Sciences,2023
Derong Xu,Unknown,12,Brookhaven National Laboratory,National Lab,,11973,Nuclear Physics,2023
Da Yan,Unknown,283,University of Alabama at,University,Other,35294,Nuclear Physics,2023
Joanna M Zajac,Female,10,Brookhaven National Laboratory,National Lab,,11789,Basic Energy Sciences,2023
Yu Zhang,Unknown,110,Los Alamos National Laboratory,National Lab,,87545,Basic Energy Sciences,2023
Youtong Zheng,Unknown,18,"Boston College,",University,Other,02467,Basic Energy Sciences,2023
Brian Zhou,Male,16,"Boston College,",University,Other,02467,Biological and Environmental Research,2023
Silvia Zorzeti,Female,11,Fermi National Accelerator Laboratory,National Lab,,60510,Basic Energy Sciences,2023
Michael Zuerch,Male,114,"University of California, Berkeley",University,State/Public,94720,High Energy Physics,2023
Daniel Bardayan,Male,38,Oak Ridge National Laboratory,National Lab,,37831,Nuclear Physics,2010
Christian Bauer,Male,50,Lawrence Berkeley National Laboratory,National Lab,,94720,High Energy Physics,2010
Ivan Bazarov,Male,37,Cornell University,University,Ivy League,14850,Basic Energy Sciences,2010
Philip Bingham,Male,18,Oak Ridge National Laboratory,National Lab,,37831,Basic Energy Sciences,2010
Stanislav Boldyrev,Male,N/A,University of Wisconsin,University,Other,53715,Basic Energy Sciences,2010
Grigory Bronevetsky,Male,N/A,Lawrence Livermore National Laboratory,National Lab,,94550,Advanced Scientific Computing Research,2010
Martin Centurion,Male,32,University of Nebraska,University,Other,68588,Basic Energy Sciences,2010
Patrick Yin Chiang,Male,N/A,Oregon State University,University,Other,97331,Advanced Scientific Computing Research,2010
Luisa Chiesa,Female,22,Miami University,University,Other,45056,Fusion Energy Sciences,2010
Samantha Daly,Female,16,University of Michigan,University,State/Public,48109,Basic Energy Sciences,2010
Yuantao Ding,Unknown,N/A,SLAC National Accelerator Laboratory,National Lab,,94025,Basic Energy Sciences,2010
David Erickson,Male,68,Cornell University,University,Ivy League,14853,Basic Energy Sciences,2010
Amir Farbin,Male,N/A,"University of Texas, Arlington",University,Other,76019,High Energy Physics,2010
Daniel Fredrickson,Male,29,University of Wisconsin,University,Other,53715,Basic Energy Sciences,2010
Andrew Gaunt,Male,N/A,Los Alamos National Laboratory,National Lab,,87545,Basic Energy Sciences,2010
Adrian Gozar,Male,25,Brookhaven National Laboratory,National Lab,,11973,Basic Energy Sciences,2010
William Gustafson,Male,35,Pacific Northwest National Laboratory,National Lab,,99352,Biological and Environmental Research,2010
Valerie Halyo,Female,N/A,University of Colorado,University,Other,80309,High Energy Physics,2010
Michael Hermele,Male,37,University of Colorado,University,Other,80309,Basic Energy Sciences,2010
Patrick Huber,Male,65,Virginia Polytechnic Institute and State University,University,Other,24061,High Energy Physics,2010
Christiane Jablonowski,Female,36,University of Michigan,University,State/Public,48109,Advanced Scientific Computing Research,2010
Arthi Jayaraman,Unknown,38,University of Colorado,University,Other,80309,Basic Energy Sciences,2010
Rubin Juanes,Male,66,University of Maryland,University,Other,20742,Basic Energy Sciences,2010
Matias Kirst,Male,48,University of Florida,University,State/Public,32611,Biological and Environmental Research,2010
John Kitchin,Male,46,Carnegie Mellon University,University,Other,15213,Basic Energy Sciences,2010
Michael Kohl,Male,110,Hampton University,University,Other,23668,Nuclear Physics,2010
Matthew Law,Male,103,"University of California, Irvine",University,Other,92697,Basic Energy Sciences,2010
Rupak Mahapatra,Unknown,75,Texas A&M University,University,Other,77845,High Energy Physics,2010
Alysia Marino,Female,69,University of Colorado,University,Other,80309,High Energy Physics,2010
Christina Markert,Female,24,University of Texas at Austin,University,State/Public,78712,Nuclear Physics,2010
Youssef Marzouk,Male,46,Los Alamos National Laboratory,National Lab,,87545,Advanced Scientific Computing Research,2010
Christopher Mauger,Male,N/A,Los Alamos National Laboratory,National Lab,,87545,High Energy Physics,2010
Nathan McDowell,Male,93,Los Alamos National Laboratory,National Lab,,87545,Biological and Environmental Research,2010
Antonino Miceli,Male,20,Argonne National Laboratory,National Lab,,60439,Basic Energy Sciences,2010
Delia Milliron,Female,71,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2010
Denes Molnar,Unknown,97,Purdue University,University,Other,47907,Nuclear Physics,2010
Benjamin Monreal,Male,32,"University of California, Santa Barbara",University,Other,93106,Nuclear Physics,2010
Tobin Munsat,Male,35,University of Colorado,University,Other,80309,Fusion Energy Sciences,2010
Pavel Nadolsky,Male,59,Southern Methodist University,University,Other,75205,High Energy Physics,2010
Jeffrey Newman,Male,124,University of Pittsburgh,University,Other,15213,High Energy Physics,2010
Jennifer O'Donnell,Female,8,Iowa State University,University,Other,50011,Basic Energy Sciences,2010
Victoria Orphan,Female,66,California institute of Technology,University,Private,91125,Biological and Environmental Research,2010
Kalyan Perumalla,Male,34,Oak Ridge National Laboratory,National Lab,,37831,Advanced Scientific Computing Research,2010
Eric Potma,Male,56,"University of California, Irvine",University,Other,92697,Basic Energy Sciences,2010
Jonathan Schilling,Male,50,University of Minnesota,University,State/Public,55455,Biological and Environmental Research,2010
Matthew Schwartz,Male,58,SLAC National Accelerator Laboratory,National Lab,,94025,High Energy Physics,2010
Ariel Schwartzman,Male,N/A,SLAC National Accelerator Laboratory,National Lab,,94025,High Energy Physics,2010
Athena Sefat,Female,64,Oak Ridge National Laboratory,National Lab,,37831,Basic Energy Sciences,2010
Wendy Shaw,Female,49,Pacific Northwest National Laboratory,National Lab,,99352,Basic Energy Sciences,2010
David Shih,Male,38,Los Alamos National Laboratory,National Lab,,87545,High Energy Physics,2010
Evgenya Smirnova,Female,5,Los Alamos National Laboratory,National Lab,,87545,High Energy Physics,2010
Vsevolod Soukhanovskii,Male,N/A,Lawrence Livermore National Laboratory,National Lab,,94550,High Energy Physics,2010
Michelle Strout,Female,28,Colorado State University,University,Other,80523,Advanced Scientific Computing Research,2010
Tsuyoshi Tajima,Male,16,Los Alamos National Laboratory,National Lab,,87545,Nuclear Physics,2010
Christine Thomas,Female,43,Washington State University,University,Other,99164,Basic Energy Sciences,2010
Timothy VanReken,Male,21,Washington State University,University,Other,99164,Biological and Environmental Research,2010
Anil Vullikanti,Male,49,Virginia Polytechnic Institute and State University,University,Other,24060,Advanced Scientific Computing Research,2010
Feng Wang,Unknown,130,"University of California, Berkeley",University,State/Public,94704,Basic Energy Sciences,2010
Mort Webster,Male,35,Northwestern University,University,Private,60208,Biological and Environmental Research,2010
Emily Weiss,Female,68,Northwestern University,University,Private,60208,Basic Energy Sciences,2010
Feng Yuan,Unknown,116,Lawrence Berkeley National Laboratory,National Lab,,94720,Nuclear Physics,2010
Xiaochao Zheng,Unknown,58,University of Virginia,University,Other,22904,Nuclear Physics,2010
Michael Arnold,Male,55,University of Wisconsin,University,Other,53706,Basic Energy Sciences,2011
Nina Balke,Female,64,Oak Ridge National Laboratory,National Lab,,37831,Basic Energy Sciences,2011
Timothy Bertram,Male,57,"University of California, San Diego",University,State/Public,92093,Biological and Environmental Research,2011
Guillaume Blanquart,Male,34,California Institute of Technology,University,Private,91125,Basic Energy Sciences,2011
Ricardo Castro,Male,34,"University of California, Davis",University,Other,95616,Basic Energy Sciences,2011
Jennifer Cha,Female,37,"University of California, San Diego",University,State/Public,92093,Basic Energy Sciences,2011
Youping Chen,Unknown,40,University of Florida,University,State/Public,32611,Basic Energy Sciences,2011
Aaron Chou,Male,5,Fermi National Accelerator Laboratory,National Lab,,60510,High Energy Physics,2011
Paul Dauenhauer,Male,51,University of Massachusetts Amherst,University,Other,01003,Basic Energy Sciences,2011
Sarah Demers,Female,N/A,Yale University,University,Ivy League,06520,High Energy Physics,2011
Shen Dillon,Unknown,41,University of Illinois at Urbana‐Champaign,University,Other,61820,Basic Energy Sciences,2011
Mircea Dinca,Male,90,Massachusetts Institute of Technology,University,Private,02139,Basic Energy Sciences,2011
Alireza Doostan,Male,37,University of Colorado,University,Other,80309,Advanced Scientific Computing Research,2011
Jozef Dudek,Male,45,Old Dominion University,University,Other,23529,Nuclear Physics,2011
Mary Dunlop,Female,28,University of Vermont,University,Other,05405,Biological and Environmental Research,2011
Gurudev Dutt,Unknown,18,University of Pittsburgh,University,Other,15260,Basic Energy Sciences,2011
Pavel Evtushenko,Male,15,Thomas Jefferson National Accelerator Facility,National Lab,,23606,Basic Energy Sciences,2011
Michael Galperin,Male,90,"University of California, San Diego",University,State/Public,92093,Basic Energy Sciences,2011
Nuh Gedik,Male,54,Massachusetts Institute of Technology,University,Private,02139,Basic Energy Sciences,2011
Kai Germaschewski,Male,29,University of New Hampshire,University,Other,03824,Basic Energy Sciences,2011
Jeffrey Greeley,Male,88,Argonne National Laboratory,National Lab,,60439,Fusion Energy Sciences,2011
Julia Greer,Female,80,California Institute of Technology,University,Private,91125,Basic Energy Sciences,2011
Markus Guehr,Male,37,SLAC National Acceleratory Laboratory,Unknown,,94025,Basic Energy Sciences,2011
Carter Hall,Male,76,University of Maryland,University,Other,20742,High Energy Physics,2011
Thomas Hamann,Male,52,Michigan State University,University,Other,48824,Basic Energy Sciences,2011
Ryan Hayward,Male,68,University of Massachusetts Amherst,University,Other,01003,Basic Energy Sciences,2011
Samuel Hazen,Male,34,University of Massachussetts Amherst,University,Other,01003,Biological and Environmental Research,2011
Chris Hirata,Male,N/A,California Institute of Technology,University,Private,91125,High Energy Physics,2011
Yongqin Jiao,Unknown,29,Lawrence Livermore National Laboratory,National Lab,,94550,Biological and Environmental Research,2011
Anantharaman Kalyanaraman,Unknown,27,Washington State University,University,Other,99164,Advanced Scientific Computing Research,2011
James Kneller,Male,27,North Carolina State University,University,Other,27695,Nuclear Physics,2011
Suzanne Lapi,Female,37,Washington University,University,Other,63110,Nuclear Physics,2011
Minhyea Lee,Unknown,23,University of Colorado,University,Other,80309,Basic Energy Sciences,2011
Peter Lindstrom,Male,41,Lawrence Livermore National Laboratory,National Lab,,94550,Advanced Scientific Computing Research,2011
Rene Lopez,Male,39,University of North Carolina,University,Other,27599,Basic Energy Sciences,2011
Matthew Marshall,Male,26,Pacific Northwest National Laboratory,National Lab,,99352,Basic Energy Sciences,2011
Daniel Melconian,Male,N/A,Texas A&M University,University,Other,77843,Nuclear Physics,2011
Peter Mueller,Male,86,Argonne National Laboratory,National Lab,,60439,Nuclear Physics,2011
Alberto Nicolis,Male,N/A,Columbia University,University,Ivy League,10027,High Energy Physics,2011
Christoph Niemann,Male,33,"University of California, Los Angeles",University,State/Public,90095,Fusion Energy Sciences,2011
Jonathan Owen,Male,63,Columbia University,University,Ivy League,10027,Fusion Energy Sciences,2011
Ryan Patterson,Male,4,California Institute of Technology,University,Private,91125,Basic Energy Sciences,2011
Thomas Prolier,Male,N/A,Argonne National Laboratory,National Lab,,60439,High Energy Physics,2011
Tatiana Prozorov,Female,32,Ames Laboratory,Unknown,,50011,Basic Energy Sciences,2011
Sofia Quaglioni,Female,36,Lawrence Livermore National Laboratory,National Lab,,94551,Nuclear Physics,2011
Alexander Romanenko,Male,37,Fermi National Accelerator Laboratory,National Lab,,60510,Nuclear Physics,2011
David Savage,Male,41,"University of California, Berkeley",University,State/Public,94720,Basic Energy Sciences,2011
Eric Schelter,Male,54,University of Pennsylvania,University,Ivy League,19104,Basic Energy Sciences,2011
Xipeng Shen,Unknown,40,College of William and Mary,University,Other,23187,Basic Energy Sciences,2011
Daniel Sinars,Male,5,Sandia National Laboratories,National Lab,,87185,Advanced Scientific Computing Research,2011
Anze Slosar,Unknown,90,Brookhaven National Laboratory,National Lab,,11973,High Energy Physics,2011
Alexandre Tartakovsky,Male,46,Pacific Northwest National Laboratory,National Lab,,99352,Advanced Scientific Computing Research,2011
Alexis Templeton,Male,42,University of Colorado,University,Other,80309,Basic Energy Sciences,2011
Jesse Thaler,Male,76,Massachusetts Institute of Technology,University,Private,02139,High Energy Physics,2011
Susannah Tringe,Female,92,Lawrence Berkeley National Laboratory,National Lab,,94720,Biological and Environmental Research,2011
Ezekial Unterberg,Unknown,32,Oak Ridge National Laboratory,National Lab,,37831,Biological and Environmental Research,2011
Anastasia Volovich,Female,50,Brown University,University,Ivy League,02912,High Energy Physics,2011
Francesco Volpe,Male,27,University of Wisconsin,University,Other,53706,High Energy Physics,2011
Faya Wang,Unknown,9,SLAC National Acceleratory Laboratory,Unknown,,94025,High Energy Physics,2011
Anne White,Female,56,Massachusetts Institute of Technology,University,Private,02139,High Energy Physics,2011
Zhigang Wu,Unknown,56,Colorado School of Mines,Unknown,,80401,Basic Energy Sciences,2011
Junqiao Wu,Unknown,94,"University of California, Berkeley",University,State/Public,94720,Basic Energy Sciences,2011
Jinlong Zhang,Unknown,121,Argonne National Laboratory,National Lab,,60439,High Energy Physics,2011
Pengpeng Zhang,Unknown,22,Michigan State University,University,Other,48824,Basic Energy Sciences,2011
Haimei Zheng,Unknown,71,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2011
Kirstin Alberi,Female,21,National Renewable Energy Laboratory,National Lab,,80401,Basic Energy Sciences,2012
John Asbury,Male,12,Pennsylvania State University,University,Other,16802,Basic Energy Sciences,2012
Pavan Balaji,Unknown,47,Argonne National Laboratory,National Lab,,60439,Advanced Scientific Computing Research,2012
Jesse Berezovsky,Male,21,Case Western Reserve University,University,Other,44106,Basic Energy Sciences,2012
Theodore Betley,Male,45,Harvard University,University,Ivy League,02138,Basic Energy Sciences,2012
Aditya Bhan,Male,56,University of Minnesota,University,State/Public,55455,Basic Energy Sciences,2012
Kristen Buchanan,Female,22,Colorado State University,University,Other,80523,Basic Energy Sciences,2012
Gianpaolo Carosi,Male,N/A,Lawrence Livermore National Laboratory,National Lab,,94550,High Energy Physics,2012
Brendan Casey,Male,35,Fermi National Accelerator Laboratory,National Lab,,60510,High Energy Physics,2012
Hank Childs,Male,52,Lawrence Berkeley National Laboratory,National Lab,,94720,Advanced Scientific Computing Research,2012
Amy Clarke,Female,39,Los Alamos National Laboratory,National Lab,,87545,Basic Energy Sciences,2012
Nicolas Commaux,Male,N/A,Oak Ridge National Laboratory,National Lab,,37831,Basic Energy Sciences,2012
Silviu Covrig,Male,N/A,Thomas Jefferson National Accelerator Facility,National Lab,,23606,Nuclear Physics,2012
Christopher Crawford,Male,36,University of Kentucky,University,Other,40506,Nuclear Physics,2012
Aleksandar Donev,Male,48,New York University,University,Private,10012,Advanced Scientific Computing Research,2012
Gary Douberly,Male,33,University of Georgia,University,Other,30602,Advanced Scientific Computing Research,2012
Xiangfeng Duan,Unknown,158,"University of California, Los Angeles",University,State/Public,90095,Basic Energy Sciences,2012
Huaiyu Duan,Unknown,31,University of New Mexico,University,Other,87131,Nuclear Physics,2012
John Dueber,Male,36,"University of California, Berkeley",University,State/Public,94720,Biological and Environmental Research,2012
Mattan Erez,Unknown,43,University of Texas,University,Other,78712,Advanced Scientific Computing Research,2012
Rouven Essig,Male,N/A,Stony Brook University,University,Other,11794,High Energy Physics,2012
Joshua Figueroa,Male,N/A,"University of California, San Diego",University,State/Public,92093,High Energy Physics,2012
Charles Folden III,Male,31,Texas A&M University,University,Other,77843,Nuclear Physics,2012
Oliver Gessner,Male,36,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2012
Daniel Gianola,Male,81,University of Pennsylvania,University,Ivy League,19104,Basic Energy Sciences,2012
Sean Hartnoll,Male,57,Stanford University,University,Private,94305,Basic Energy Sciences,2012
Daniel Hayes,Male,148,Oak Ridge National Laboratory,National Lab,,37831,High Energy Physics,2012
Anne Jones,Female,62,Arizona State University,University,Other,85287,Basic Energy Sciences,2012
Rohit Karnik,Unknown,60,Massachusetts Institute of Technology,University,Private,02139,Basic Energy Sciences,2012
Daniel Kasen,Male,89,"University of California, Berkeley",University,State/Public,94720,Nuclear Physics,2012
Andreas Kemp,Male,37,Lawrence Livermore National Laboratory,National Lab,,94550,Nuclear Physics,2012
Svetlana Kilina,Female,45,North Dakota State University,University,Other,58108,Basic Energy Sciences,2012
Matthias Kling,Male,63,Kansas State University,University,Other,66506,Basic Energy Sciences,2012
Lu Li,Unknown,100,University of Michigan,University,State/Public,48109,Basic Energy Sciences,2012
Rachel Mandelbaum,Female,N/A,Carnegie Mellon University,University,Other,15213,High Energy Physics,2012
Jaime Marian,Male,46,Lawrence Livermore National Laboratory,National Lab,,94550,Fusion Energy Sciences,2012
James McKinlay,Male,29,Indiana University,University,Other,47405,Fusion Energy Sciences,2012
Nikhil Padmanabhan,Male,83,Yale University,University,Ivy League,06520,High Energy Physics,2012
Steven Pain,Male,75,Oak Ridge National Laboratory,National Lab,,37831,High Energy Physics,2012
Felix Parra Diaz,Male,N/A,Massachusetts Institute of Technology,University,Private,02139,Nuclear Physics,2012
Samuel Payne,Male,49,Pacific Northwest National Laboratory,National Lab,,99352,Fusion Energy Sciences,2012
Jennifer Reed,Female,33,University of Wisconsin,University,Other,53706,Biological and Environmental Research,2012
Paul Romatschke,Male,45,University of Colorado,University,Other,80309,Biological and Environmental Research,2012
Volker Rose,Male,32,Argonne National Laboratory,National Lab,,60439,Basic Energy Sciences,2012
Ozgur Sahin,Unknown,34,Columbia University,University,Ivy League,10027,Basic Energy Sciences,2012
Tina Salguero,Female,37,University of Georgia,University,Other,30602,Basic Energy Sciences,2012
Leonardo Senatore,Male,N/A,Stanford University,University,Private,94305,Basic Energy Sciences,2012
Tengming Shen,Unknown,24,Fermi National Accelerator Laboratory,National Lab,,60510,High Energy Physics,2012
Pavel Snopok,Male,35,Illinois Institute of Technology,Unknown,,60616,High Energy Physics,2012
Santiago Solares,Male,34,University of Maryland,University,Other,20742,Basic Energy Sciences,2012
Garrett Suen,Male,54,University of Wisconsin,University,Other,53715,Biological and Environmental Research,2012
Mitra Taheri,Female,48,Drexel University,University,Other,19104,Biological and Environmental Research,2012
Ivan Vitev,Male,66,Los Alamos National Laboratory,National Lab,,87545,Nuclear Physics,2012
Haim Waisman,Male,41,Columbia University,University,Ivy League,10027,Advanced Scientific Computing Research,2012
Lisa Whitehead,Female,43,University of Houston,University,Other,77204,High Energy Physics,2012
Richard Wilson,Male,224,Argonne National Laboratory,National Lab,,60439,High Energy Physics,2012
Kevin Wilson,Male,64,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2012
Weida Wu,Unknown,39,Rutgers University,University,Other,08854,Basic Energy Sciences,2012
Dao Xiang,Female,15,University of Washington,University,State/Public,98195,Basic Energy Sciences,2012
Xiaodong Xu,Unknown,109,University of Washington,University,State/Public,98195,Basic Energy Sciences,2012
Ming Ye,Unknown,58,Florida State University,University,Other,32306,Biological and Environmental Research,2012
Jamey Young,Male,68,Vanderbilt University,University,Other,37235,Biological and Environmental Research,2012
Victor Zavala,Male,47,Argonne National Laboratory,National Lab,,60439,Advanced Scientific Computing Research,2012
Junjie Zhu,Unknown,13,University of Michigan,University,State/Public,48109,High Energy Physics,2012
Joshua Zide,Male,36,University of Delaware,University,Other,19716,Basic Energy Sciences,2012
Thomas Bligaard,Male,70,SLAC National Accelerator Laboratory,National Lab,,94025,Basic Energy Sciences,2013
Adam S. Bolton,Male,N/A,University of Utah,University,Other,84112,High Energy Physics,2013
Cheng Cen,Unknown,83,West Virginia University,University,Other,26506,Basic Energy Sciences,2013
Clarence L. Chang,Male,7,Argonne National Laboratory,National Lab,,60439,Basic Energy Sciences,2013
Clifford W. Cheung,Male,N/A,California Institute of Technology,University,Private,91125,High Energy Physics,2013
Sigrid Close,Female,30,Stanford University,University,Private,94305,Fusion Energy Sciences,2013
Heather D. Coleman,Female,N/A,Syracuse University,University,Other,13244,Fusion Energy Sciences,2013
Valentino R. Cooper,Male,45,Oak Ridge National Laboratory,National Lab,,37831,Biological & Environmental Research,2013
Frank E. Curtis,Male,32,Lehigh University,University,Other,18015,Advanced Scientific Computing Research,2013
Richard Dawes,Male,37,Missouri University of Science and Technology,University,Other,65409,Basic Energy Sciences,2013
William Detmold,Male,59,Massachusetts Institute of Technology,University,Private,02139,Nuclear Physics,2013
Jason A. Detwiler,Male,57,University of Washington,University,State/Public,98195,Nuclear Physics,2013
Ahmed Diallo,Male,42,Princeton Plasma Physics Laboratory,National Lab,,08543,Nuclear Physics,2013
Daniel B. Dougherty,Male,N/A,North Carolina State University,University,Other,27695,Basic Energy Sciences,2013
Krzysztof J. Fidkowski,Male,N/A,University of Michigan,University,State/Public,48109,Advanced Scientific Computing Research,2013
Felix R. Fischer,Male,41,"University of California, Berkeley",University,State/Public,94704,Basic Energy Sciences,2013
Liang Fu,Unknown,104,Massachusetts Institute of Technology,University,Private,02139,Basic Energy Sciences,2013
Etienne Garand,Male,28,University of Wisconsin‐Madision,University,Other,53715,Basic Energy Sciences,2013
Emanuel Gull,Male,56,University of Michigan,University,State/Public,48109,Basic Energy Sciences,2013
Ruilan Guo,Unknown,35,University of Notre Dame,University,Other,46556,Basic Energy Sciences,2013
Gaute Hagen,Male,59,Oak Ridge National Laboratory,National Lab,,37831,Basic Energy Sciences,2013
Daniel J. Haxton,Male,N/A,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2013
Jason P. Hayward,Male,15,The University of Tennessee,University,Other,37996,Basic Energy Sciences,2013
Alexander Hexemer,Male,N/A,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2013
Stefan Hoeche,Male,63,SLAC National Accelerator Laboratory,National Lab,,94205,Basic Energy Sciences,2013
Andrew G. Ivanov,Male,N/A,Kansas State University,University,Other,66506,High Energy Physics,2013
Marian Jandel,Male,31,Los Alamos National Laboratory,National Lab,,87545,Nuclear Physics,2013
Matthew C. Jewell,Male,N/A,University of Wisconsin‐Eau Claire,University,Other,54702,Nuclear Physics,2013
Sriram Krishnamoorthy,Unknown,57,Pacific Northwest National Laboratory,National Lab,,99352,Advanced Scientific Computing Research,2013
Milind Kulkarni,Unknown,36,Purdue University,University,Other,47906,Advanced Scientific Computing Research,2013
Keji Lai,Unknown,45,University of Texas at Austin,University,State/Public,78712,Basic Energy Sciences,2013
Dominique Loque,Unknown,N/A,University of Hawaii,University,Other,96822,Basic Energy Sciences,2013
Jelena Maricic,Female,61,University of Hawaii,University,Other,96822,Biological & Environmental Research,2013
Benjamin J. McMorran,Male,23,University of Oregon,University,Other,97403,Basic Energy Sciences,2013
William E. Mustain,Male,56,University of Connecticut,University,Other,06269,Basic Energy Sciences,2013
Rebecca B. Neumann,Female,24,University of Washington,University,State/Public,98195,Basic Energy Sciences,2013
Michelle A. O'Malley,Female,38,"University of California, Santa Barbara",University,Other,93106,Biological & Environmental Research,2013
Gabriel D. Orebi Gann,Male,N/A,"University of California, Berkeley",University,State/Public,94704,Biological & Environmental Research,2013
Toyoko Jennifer Orimoto,Female,N/A,Northeastern University,University,Other,02115,High Energy Physics,2013
Johnpierre Paglione,Unknown,63,University of Maryland,University,Other,20742,Basic Energy Sciences,2013
George Shu Heng Pau,Male,20,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2013
Brian F. Pfleger,Male,45,University of Wisconsin‐Madision,University,Other,53715,Biological & Environmental Research,2013
Yuan Ping,Unknown,95,Lawrence Livermore National Laboratory,National Lab,,94550,Fusion Energy Sciences,2013
Brian A. Powell,Male,N/A,Clemson University,University,Other,29634,Fusion Energy Sciences,2013
Danilo C. Pozzo,Male,N/A,University of Washington,University,State/Public,98195,Basic Energy Sciences,2013
Ashwin Ramasubramaniam,Unknown,38,"University of Massachusetts, Amherst",University,Other,01003,Basic Energy Sciences,2013
Lijuan Ruan,Unknown,N/A,Brookhaven National Laboratory,National Lab,,11973,Basic Energy Sciences,2013
Matthias R. Schindler,Male,N/A,University of South Carolina,University,Other,29208,Nuclear Physics,2013
Jonathan Simon,Male,50,University of Chicago,University,Private,60637,Basic Energy Sciences,2013
Sara E. Skrabalak,Female,N/A,Indiana University,University,Other,47405,Basic Energy Sciences,2013
Ivan I. Smalyukh,Male,71,University of Colorado,University,Other,80309,Basic Energy Sciences,2013
Xiaowei Teng,Unknown,37,University of New Hampshire,University,Other,03824,Basic Energy Sciences,2013
Megan C. Thielges,Female,N/A,Indiana University,University,Other,47405,Basic Energy Sciences,2013
William A. Tisdale,Male,45,Massachusetts Institute of Technology,University,Private,02139,Basic Energy Sciences,2013
Andrew J. Tolley,Male,3,Case Western Reserve University,University,Other,44106,High Energy Physics,2013
Nathan M. Urban,Male,25,Los Alamos National Laboratory,National Lab,,87545,High Energy Physics,2013
Katherine A. Willets,Female,39,University of Texas at Austin,University,State/Public,78712,Basic Energy Sciences,2013
Michael Williams,Male,89,Massachusetts Institute of Technology,University,Private,02139,Basic Energy Sciences,2013
Juhao Wu,Unknown,N/A,SLAC National Accelerator Laboratory,National Lab,,94025,Nuclear Physics,2013
Setthivoine You,Unknown,N/A,University of Washington,University,State/Public,98195,Basic Energy Sciences,2013
Dominika Zgid,Female,33,University of Michigan,University,State/Public,48109,Basic Energy Sciences,2013
Rebecca J. Abergel,Female,N/A,Lawrence Berkeley National Laboratory,National Lab,,94720,,2014
Geoffrey S.D. Beach,Male,N/A,Massachusetts Institute of Technology,University,Private,02139,Basic Energy Sciences,2014
Jenifer C. Braley,Female,N/A,Colorado School of Mines,Unknown,,80401,Basic Energy Sciences,2014
Antoine J. Cerfon,Male,N/A,New York University,University,Private,10012,Basic Energy Sciences,2014
Emil M. Constantinescu,Male,N/A,Argonne National Laboratory,National Lab,,60439,Advanced Scientific Computing Research,2014
Carl Eric Dahl,Male,N/A,Northwestern University,University,Private,60208,Advanced Scientific Computing Research,2014
Mark P.M. Dean,Male,36,Brookhaven National Laboratory,National Lab,,11973,Basic Energy Sciences,2014
Olivier A. Delaire,Male,N/A,Oak Ridge National Laboratory,National Lab,,37831,Basic Energy Sciences,2014
Rafael M. Fernandes,Male,62,University of Minnesota,University,State/Public,55455,Basic Energy Sciences,2014
Daniele Filippetto,Female,28,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2014
Gregory D. Fuchs,Male,39,Cornell University,University,Ivy League,14835,Basic Energy Sciences,2014
Todd Gamblin,Male,37,Lawrence Livermore National Laboratory,National Lab,,94550,Advanced Scientific Computing Research,2014
Shambhu Ghimire,Unknown,37,SLAC National Accelerator Laboratory,National Lab,,94025,Basic Energy Sciences,2014
