Name,Gender,h-index,Institution,Category,Subcategory,Zipcode,Program Area,Year
Daniel Stolper,Male,29,"University of California, Berkeley",University,State/Public,94720,Basic Energy Sciences,2022
Brian Summa,Male,14,Tulane University,University,Other,70118,Basic Energy Sciences,2022
Zhaowen Tang,Unknown,16,Los Alamos National Laboratory,National Lab,,87544,Advanced Scientific Computing Research,2022
Marlene Turner,Female,N/A,Lawrence Berkeley National Laboratory,National Lab,,94720,Nuclear Physics,2022
Jorge A. Villa,Male,14,University of Louisiana at Lafayette,University,Other,70504,High Energy Physics,2022
Bess Vlaisavljevich,Female,32,University of South Dakota,University,Other,57069,Biological and Environmental Research,2022
Yao Wang,Unknown,83,Clemson University,University,Other,29634,Basic Energy Sciences,2022
Marissa L. Weichman,Female,N/A,Princeton University,University,Ivy League,08544,Basic Energy Sciences,2022
Antoine Wojdyla,Male,12,Lawrence Berkeley National,Unknown,,94710,Basic Energy Sciences,2022
Shuolong Yang,Unknown,21,The University of Chicago,University,Private,60637,Basic Energy Sciences,2022
Mimi C. Yung,Female,12,Lawrence Livermore National Laboratory,National Lab,,94550,Basic Energy Sciences,2022
Michael Zaletel,Male,53,"University of California, Berkeley",University,State/Public,94720,Biological and Environmental Research,2022
Zhiyang Zhai,Unknown,16,Brookhaven National Laboratory,National Lab,,11973,Basic Energy Sciences,2022
Xiao-Xiao Zhang,Unknown,10,University of Florida,University,State/Public,32611,Basic Energy Sciences,2022
Guannan Zhang,Unknown,21,Oak Ridge National Laboratory,National Lab,,37830,Basic Energy Sciences,2022
You Zhou,Unknown,147,University of Maryland,University,Other,20742,Basic Energy Sciences,2022
Yuanyuan Zhu,Unknown,21,University of Connecticut,University,Other,06269,Basic Energy Sciences,2022
Aleksandr V. Zhukhovitskiy,Male,N/A,University of North Carolina at Chapel Hill,University,State/Public,27599,Basic Energy Sciences,2022
Gina C. Adam,Female,17,The George Washington University,University,Other,20052,,2024
Whitney Armstrong,Male,N/A,Argonne National Laboratory,National Lab,,60439,Nuclear Physics,2024
Miguel Arratia,Male,19,"University of California, Riverside",University,Other,92507,Nuclear Physics,2024
Sayan Biswas,Unknown,13,University of Minnesota,University,State/Public,55455,Nuclear Physics,2024
Steven J Blazewicz,Male,27,Lawrence Livermore National Laboratory,National Lab,,94550,Basic Energy Sciences,2024
David Cesar,Male,22,SLAC National Accelerator Laboratory,National Lab,,94025,Basic Energy Sciences,2024
Matthew B. Chambers,Male,16,Louisiana State University,University,Other,70803,Basic Energy Sciences,2024
Nathaniel Chaney,Male,25,Duke University,University,Private,27708,Basic Energy Sciences,2024
Xiaoqian Chen,Unknown,24,Brookhaven National Laboratory,National Lab,,11973,Basic Energy Sciences,2024
Tyler Cocker,Male,20,Michigan State University,University,Other,48824,Basic Energy Sciences,2024
Stacy M. Copp,Female,N/A,"University of California, Irvine",University,Other,92697,Basic Energy Sciences,2024
