Name,Gender,Institution,Category,Subcategory,h-index
Nathan McDowell,Male,Los Alamos National Laboratory,National Lab,,93
Antonino Miceli,Male,Argonne National Laboratory,National Lab,,19
Delia Milliron,Female,Lawrence Berkeley National Laboratory,National Lab,,70
Denes Molnar,Unknown,Purdue University,University,Other,96
Benjamin Monreal,Male,"University of California, Santa Barbara",University,Other,32
Tobin Munsat,Male,University of Colorado,University,Other,35
Pavel Nadolsky,Male,Southern Methodist University,University,Other,59
Jeffrey Newman,Male,University of Pittsburgh,University,Other,120
Jennifer O'Donnell,Female,Iowa State University,University,Other,8
Victoria Orphan,Female,California institute of Technology,University,Private,66
Kalyan Perumalla,Male,Oak Ridge National Laboratory,National Lab,,33
Eric Potma,Male,"University of California, Irvine",University,Other,56
Jonathan Schilling,Male,University of Minnesota,University,State/Public,50
Matthew Schwartz,Male,SLAC National Accelerator Laboratory,National Lab,,58
Ariel Schwartzman,Male,SLAC National Accelerator Laboratory,National Lab,,N/A
Athena Sefat,Female,Oak Ridge National Laboratory,National Lab,,64
Wendy Shaw,Female,Pacific Northwest National Laboratory,National Lab,,49
David Shih,Male,Los Alamos National Laboratory,National Lab,,38
Evgenya Smirnova,Female,Los Alamos National Laboratory,National Lab,,5
Vsevolod Soukhanovskii,Male,Lawrence Livermore National Laboratory,National Lab,,N/A
Michelle Strout,Female,Colorado State University,University,Other,28
Tsuyoshi Tajima,Male,Los Alamos National Laboratory,National Lab,,16
Christine Thomas,Female,Washington State University,University,Other,43
Timothy VanReken,Male,Washington State University,University,Other,21
Anil Vullikanti,Male,Virginia Polytechnic Institute and State University,University,Other,49
Feng Wang,Unknown,"University of California, Berkeley",University,State/Public,129
Mort Webster,Male,Northwestern University,University,Private,35
Emily Weiss,Female,Northwestern University,University,Private,68
Feng Yuan,Unknown,Lawrence Berkeley National Laboratory,National Lab,,115
Xiaochao Zheng,Unknown,University of Virginia,University,Other,57
Michael Arnold,Male,University of Wisconsin,University,Other,55
Nina Balke,Female,Oak Ridge National Laboratory,National Lab,,62
Timothy Bertram,Male,"University of California, San Diego",University,State/Public,N/A
Guillaume Blanquart,Male,California Institute of Technology,University,Private,34
Ricardo Castro,Male,"University of California, Davis",University,Other,34
Jennifer Cha,Female,"University of California, San Diego",University,State/Public,37
Youping Chen,Unknown,University of Florida,University,State/Public,40
Aaron Chou,Male,Fermi National Accelerator Laboratory,National Lab,,4
Paul Dauenhauer,Male,University of Massachusetts Amherst,University,Other,51
Sarah Demers,Female,Yale University,University,Ivy League,N/A
Shen Dillon,Unknown,University of Illinois at Urbana‐Champaign,University,Other,41
Mircea Dinca,Male,Massachusetts Institute of Technology,University,Private,90
Alireza Doostan,Male,University of Colorado,University,Other,36
Jozef Dudek,Male,Old Dominion University,University,Other,45
Mary Dunlop,Female,University of Vermont,University,Other,28
Gurudev Dutt,Unknown,University of Pittsburgh,University,Other,18
Pavel Evtushenko,Male,Thomas Jefferson National Accelerator Facility,National Lab,,15
Michael Galperin,Male,"University of California, San Diego",University,State/Public,90
Nuh Gedik,Male,Massachusetts Institute of Technology,University,Private,52
Kai Germaschewski,Male,University of New Hampshire,University,Other,29
Jeffrey Greeley,Male,Argonne National Laboratory,National Lab,,88
Julia Greer,Female,California Institute of Technology,University,Private,80
Markus Guehr,Male,SLAC National Acceleratory Laboratory,Unknown,,37
Carter Hall,Male,University of Maryland,University,Other,75
Thomas Hamann,Male,Michigan State University,University,Other,52
Ryan Hayward,Male,University of Massachusetts Amherst,University,Other,67
Samuel Hazen,Male,University of Massachussetts Amherst,University,Other,34
Chris Hirata,Male,California Institute of Technology,University,Private,N/A
Yongqin Jiao,Unknown,Lawrence Livermore National Laboratory,National Lab,,29
Anantharaman Kalyanaraman,Unknown,Washington State University,University,Other,26
James Kneller,Male,North Carolina State University,University,Other,27
Suzanne Lapi,Female,Washington University,University,Other,37
Minhyea Lee,Unknown,University of Colorado,University,Other,23
Peter Lindstrom,Male,Lawrence Livermore National Laboratory,National Lab,,41
Rene Lopez,Male,University of North Carolina,University,Other,40
Matthew Marshall,Male,Pacific Northwest National Laboratory,National Lab,,26
Daniel Melconian,Male,Texas A&M University,University,Other,N/A
Peter Mueller,Male,Argonne National Laboratory,National Lab,,85
Alberto Nicolis,Male,Columbia University,University,Ivy League,N/A
Christoph Niemann,Male,"University of California, Los Angeles",University,State/Public,33
Jonathan Owen,Male,Columbia University,University,Ivy League,62
Ryan Patterson,Male,California Institute of Technology,University,Private,4
Thomas Prolier,Male,Argonne National Laboratory,National Lab,,N/A
Tatiana Prozorov,Female,Ames Laboratory,Unknown,,32
Sofia Quaglioni,Female,Lawrence Livermore National Laboratory,National Lab,,36
Alexander Romanenko,Male,Fermi National Accelerator Laboratory,National Lab,,37
David Savage,Male,"University of California, Berkeley",University,State/Public,41
Eric Schelter,Male,University of Pennsylvania,University,Ivy League,54
Xipeng Shen,Unknown,College of William and Mary,University,Other,40
Daniel Sinars,Male,Sandia National Laboratories,National Lab,,5
Anze Slosar,Unknown,Brookhaven National Laboratory,National Lab,,89
Alexandre Tartakovsky,Male,Pacific Northwest National Laboratory,National Lab,,46
Alexis Templeton,Male,University of Colorado,University,Other,42
Jesse Thaler,Male,Massachusetts Institute of Technology,University,Private,76
Susannah Tringe,Female,Lawrence Berkeley National Laboratory,National Lab,,92
Ezekial Unterberg,Unknown,Oak Ridge National Laboratory,National Lab,,32
Anastasia Volovich,Female,Brown University,University,Ivy League,50
Francesco Volpe,Male,University of Wisconsin,University,Other,27
Faya Wang,Unknown,SLAC National Acceleratory Laboratory,Unknown,,9
Anne White,Female,Massachusetts Institute of Technology,University,Private,56
Zhigang Wu,Unknown,Colorado School of Mines,Unknown,,46
Junqiao Wu,Unknown,"University of California, Berkeley",University,State/Public,94
Jinlong Zhang,Unknown,Argonne National Laboratory,National Lab,,119
Pengpeng Zhang,Unknown,Michigan State University,University,Other,22
Haimei Zheng,Unknown,Lawrence Berkeley National Laboratory,National Lab,,70
Kirstin Alberi,Female,National Renewable Energy Laboratory,National Lab,,20
